Route No,Route Name,RPTP Level of Service,RPTP Range,RPTP Revised Range,Area,Month,Boardings
143,Ranui to Henderson via Sturges Rd,Connector,07 - 17,06 - 15,West,Feb 2026,21.7
145,Lincoln Rd To Henderson Via Western H,Connector,07 - 17,06 - 15,West,Feb 2026,16.6
147,Waitakere Township To Henderson,Local,07 - 17,06 - 15,West,Feb 2026,14.0
148,Ranui To Lincoln Rd,Local,07 - 17,06 - 15,West,Feb 2026,4.2
149,Ranui To New Lynn Via Rosebank,Weekday Connector,17 - 27,15 - 24,West,Feb 2026,20.5
152,Henderson to New Lynn via Sunnyvale and Glen Eden,Local,07 - 17,06 - 15,West,Feb 2026,21.7
154,Henderson to New Lynn via Glen Eden,Connector,17 - 27,15 - 24,West,Feb 2026,28.9
161,Brains Park to New Lynn,Local,07 - 17,06 - 15,West,Feb 2026,23.6
162,Henderson to New Lynn via Glendene,Connector,17 - 27,15 - 24,West,Feb 2026,26.1
170,Titirangi South to New Lynn,Local,07 - 17,06 - 15,West,Feb 2026,14.5
171,Laingholm To New Lynn,Local,07 - 17,06 - 15,West,Feb 2026,17.4
172,Glen Eden to New Lynn via Titirangi,Connector,07 - 17,06 - 15,West,Feb 2026,23.8
18,New Lynn To City Centre Via Great North Rd,Frequent,27 - 37,24 - 33,Central,Feb 2026,35.7
186,South Lynn Loop,Connector,17 - 27,15 - 24,West,Feb 2026,43.2
191,Lynfield To New Lynn Via Blockhouse Bay And Avondale,Local,07 - 17,06 - 15,Central,Feb 2026,19.6
195,New Lynn To City Centre Via Green Bay,Connector,17 - 27,15 - 24,West,Feb 2026,26.8
20,St Lukes To Wynyard Quarter Via Kingsland,Frequent,17 - 27,15 - 24,Central,Feb 2026,25.2
209,Titirangi to City Centre via Green Bay and New North Rd,Peak,27 - 37,24 - 33,West,Feb 2026,31.1
22N,New Lynn To City Centre Via New North Rd,Frequent,27 - 37,24 - 33,Central,Feb 2026,29.2
22R,Rosebank Rd To City Centre Via New North Rd,Frequent,27 - 37,24 - 33,Central,Feb 2026,28.7
24B,New Lynn And Blockhouse Bay To City Centre Via Sandringham R,Frequent,27 - 37,24 - 33,Central,Feb 2026,27.9
24R,New Lynn To City Centre Via Sandingham Rd,Frequent,27 - 37,24 - 33,Central,Feb 2026,27.3
252,Lynfield To Civic Centre Via Dominion Rd,Peak,37 - 47,33 - 42,Central,Feb 2026,64.2
253,Blockhouse Bay To Civic Centre Via Dominion Rd,Peak,37 - 47,33 - 42,Central,Feb 2026,65.2
25B,Blockhouse Bay To City Centre Via Dominion Rd,Frequent,27 - 37,24 - 33,Central,Feb 2026,33.6
25L,Lynfield To City Centre Via Dominion Rd,Frequent,27 - 37,24 - 33,Central,Feb 2026,30.8
27H,Waikowhai To Britomart Via Hillsborough Rd And Mt Eden Rd,Frequent,27 - 37,24 - 33,Central,Feb 2026,37.5
27T,Three Kings To Britomart Via Mt Eden Rd,Peak,37 - 47,33 - 42,Central,Feb 2026,58.9
27W,Waikowhai To Britomart Via Mt Eden Rd,Frequent,27 - 37,24 - 33,Central,Feb 2026,42.3
295,Ellerslie Station To City Centre Via Royal Oak,Connector,17 - 27,15 - 24,Central,Feb 2026,19.5
298,Onehunga To Sylvia Park Via Ellerslie,Local,07 - 17,06 - 15,Central,Feb 2026,20.8
30,Onehunga To City Centre Via Manukau Rd,Frequent,27 - 37,24 - 33,Central,Feb 2026,45.2
309,Mangere Town Centre To City Centre,Connector,17 - 27,15 - 24,South,Feb 2026,17.9
309X,Mangere Town Centre To City Centre (Express),Peak,27 - 37,24 - 33,South,Feb 2026,23.7
31,Mangere Town Centre To Botany Town Centre Via Otara,Frequent,17 - 27,15 - 24,South,Feb 2026,16.2
311,Otahuhu Station to Otahuhu Station via Mangere Bridge,Connector,17 - 27,15 - 24,South,Feb 2026,4.1
313,Mangere To Manukau Bus Station Via Papatoetoe,Connector,17 - 27,15 - 24,South,Feb 2026,13.7
314,Ormiston To Middlemore Station Via Otara,Connector,17 - 27,15 - 24,South,Feb 2026,24.4
32,Mangere Town Centre To Sylvia Park Via Otahuhu,Frequent,17 - 27,15 - 24,South,Feb 2026,19.0
321,Middlemore Station To Britomart Via Greenlane Hospital,Local,17 - 27,15 - 24,Central,Feb 2026,16.8
323,Otahuhu Station To Panmure Via Panama Rd,Connector,17 - 27,15 - 24,Central,Feb 2026,19.1
324,Mangere Town Centre To Seaside Park Via Otahuhu,Local,07 - 17,06 - 15,South,Feb 2026,15.9
325,Mangere Town Ctr To Manukau Station Via Otahuhu & Otara,Connector,17 - 27,15 - 24,South,Feb 2026,16.5
326,Mangere Town Centre To Otahuhu Station Via Tidal Road,Local,07 - 17,06 - 15,South,Feb 2026,6.6
33,Papakura Interchange To Otahuhu Station Via Great South Rd,Frequent,17 - 27,15 - 24,South,Feb 2026,26.8
35,Ormiston To Botany Via Chapel Rd,Frequent,17 - 27,15 - 24,South,Feb 2026,26.7
351,Botany To Otahuhu Station Via Highbrook,Weekday Connector,07 - 17,06 - 15,South,Feb 2026,8.9
352,Manukau Bus Station To Panmure Via East Tamaki,Peak,07 - 17,06 - 15,South,Feb 2026,9.2
353,Manukau Bus Station To Botany Town Centre Via Preston Rd,Connector,07 - 17,06 - 15,South,Feb 2026,11.1
355,Ormiston To Botany Via Mission Heights,Connector,17 - 27,15 - 24,South,Feb 2026,23.1
36,Manukau to Onehunga via Mangere Town Centre,Frequent,17 - 27,15 - 24,South,Feb 2026,15.5
361,Manurewa Interchange To Otara / Mit Via Mahia Rd,Connector,17 - 27,15 - 24,South,Feb 2026,18.3
362,Weymouth To Manukau Bus Station Via Great South Rd,Connector,17 - 27,15 - 24,South,Feb 2026,23.3
363,Manurewa Interchange To Wattle Downs Loop,Local,07 - 17,06 - 15,South,Feb 2026,19.2
365,Papakura Interchange To Manukau Bus Station Via Porchester,Connector,17 - 27,15 - 24,South,Feb 2026,16.9
366,Manurewa Interchange To Manukau Bus Station Via The Gardens,Connector,17 - 27,15 - 24,South,Feb 2026,14.8
372,Papakura Shops To Keri Hill Loop,Connector,17 - 27,15 - 24,South,Feb 2026,22.1
373,Red Hill To Papakura Shops,Local,07 - 17,06 - 15,South,Feb 2026,11.7
376,Papakura Shops To Auranga Dr Via Drury,Connector,07 - 17,06 - 15,South,Feb 2026,10.2
377,Pahurehure To Papakura Interchange,Connector,17 - 27,15 - 24,South,Feb 2026,5.9
378,Papakura Shops To Karaka Harbourside Loop And Karaka Lakes,Connector,07 - 17,06 - 15,South,Feb 2026,7.2
38,Airport To Onehunga Via Mangere Town Centre,Frequent,17 - 27,15 - 24,South,Feb 2026,11.1
391,Pukekohe Northeast Loop,Connector,07 - 17,06 - 15,South,Feb 2026,10.0
392,Pukekohe Northwest Loop,Connector,07 - 17,06 - 15,South,Feb 2026,14.6
393,Pukekohe South Loop,Connector,07 - 17,06 - 15,South,Feb 2026,6.7
394,Pukekohe Station To Papakura Station Via Paerata Rise,Connector,07 - 17,06 - 15,South,Feb 2026,7.4
395,Waiuku To Papakura Interchange,Peak,07 - 17,06 - 15,South,Feb 2026,6.6
396,Waiuku To Pukekohe Interchange Via Kitchener Rd And Patumaho,Rural Township,07 - 17,06 - 15,South,Feb 2026,9.8
399,Port Waikato To Pukekohe Interchange Via Tuakau,Rural Township,,,South,Feb 2026,1.8
501,Kennedy Point to Matiatia Wharf,Local,07 - 17,06 - 15,Waiheke Island,Feb 2026,22.7
502,Rocky Bay to Matiatia Wharf,Connector,07 - 17,06 - 15,Waiheke Island,Feb 2026,24.1
503,Matiatia Wharf To Oneroa,Local,17 - 27,15 - 24,Waiheke Island,Feb 2026,80.6
50A,Onetangi (Seventh Ave) To Matiatia Wharf,Frequent,17 - 27,15 - 24,Waiheke Island,Feb 2026,36.7
50B,Onetangi (Fourth Ave) to Matiatia Wharf,Frequent,07 - 17,06 - 15,Waiheke Island,Feb 2026,36.2
64,Newmarket To Kingsland Via Mt Eden And Valley Rd,Frequent,,,Central,Feb 2026,26.8
65,Pt Chevalier To Glen Innes,Frequent,17 - 27,15 - 24,Central,Feb 2026,22.0
66,Pt Chevalier Beach To Sylvia Park Via Mt Albert Rd,Frequent,17 - 27,15 - 24,Central,Feb 2026,26.3
67A,New Lynn To Otahuhu Via Onehunga,Frequent,17 - 27,15 - 24,Central,Feb 2026,15.9
67B,New Lynn To Onehunga Only,Frequent,07 - 17,06 - 15,Central,Feb 2026,19.8
68,New Lynn To Onehunga Station,Frequent,17 - 27,15 - 24,Central,Feb 2026,23.9
70,Botany To Britomart Via Panmure,Frequent,37 - 47,33 - 42,East,Feb 2026,43.7
70H,Britomart To Howick And Botany Via Ellerslie And Panmure,Night,,,East,Feb 2026,3.8
711,Howick To Panmure Via Cascades Road,Local,07 - 17,06 - 15,East,Feb 2026,20.4
712,Bucklands Beach To Panmure,Connector,17 - 27,15 - 24,East,Feb 2026,29.8
72C,"Botany And Howick To Panmure Via Chapel Rd, Cook St, And Pak",Frequent,27 - 37,24 - 33,East,Feb 2026,33.1
72M,"Botany and Howick to Panmure via Millhouse Dr, Meadowland Dr",Frequent,27 - 37,24 - 33,East,Feb 2026,37.0
72X,Botany And Howick To Britomart Express Via Panmure And Motor,Peak,37 - 47,33 - 42,East,Feb 2026,33.0
733,Botany To The Parade Via Highland Park,Local,07 - 17,06 - 15,East,Feb 2026,29.8
734,Botany To Half Moon Bay Via Highland Park,Local,07 - 17,06 - 15,East,Feb 2026,25.8
735,Botany To Half Moon Bay Via Cockle Bay And Howick,Local,07 - 17,06 - 15,East,Feb 2026,23.9
738,Maraetai to Pine Harbour via Beachlands,Local,07 - 17,06 - 15,East,Feb 2026,4.1
739,Maraetai And Beachlands To Botany Via Whitford And Ormiston,Local,07 - 17,06 - 15,East,Feb 2026,12.8
74,Onehunga To Glen Innes Via Panmure,Frequent,17 - 27,15 - 24,Central,Feb 2026,20.0
744,Panmure To St Heliers Via Glen Innes,Connector,17 - 27,15 - 24,Central,Feb 2026,22.0
747,Panmure To Glen Innes Via Stonefields,Connector,17 - 27,15 - 24,Central,Feb 2026,19.4
75,Glen Innes To Wynyard Quarter Via Remuera Rd,Frequent,27 - 37,24 - 33,Central,Feb 2026,39.8
751,Panmure To Newmarket Via Marua Rd And Remuera Rd,Local,17 - 27,15 - 24,Central,Feb 2026,23.5
755,Benson Rd To Britomart Via Portland Rd,Connector,17 - 27,15 - 24,Central,Feb 2026,26.0
76,Glen Innes To Britomart Via Orakei,Frequent,17 - 27,15 - 24,Central,Feb 2026,30.6
774,West Tamaki Rd To Britomart Via Long Dr And Tamaki Dr,Peak,27 - 37,24 - 33,Central,Feb 2026,30.4
775,Glendowie To Britomart Via Tamaki Dr,Peak,27 - 37,24 - 33,Central,Feb 2026,25.2
781,Mission Bay To Museum Via Orakei,Connector,17 - 27,15 - 24,Central,Feb 2026,23.8
782,Sylvia Park To Mission Bay Via Ellerslie And Meadowbank,Local,07 - 17,06 - 15,Central,Feb 2026,20.7
783,Eastern Bays Circuit Clockwise,Local,07 - 17,06 - 15,Central,Feb 2026,7.7
801,Bayswater Wharf To Akoranga Station Via Takapuna,Connector,17 - 27,15 - 24,North,Feb 2026,20.0
802,Bayswater To City (Mayoral Dr),Peak,27 - 37,24 - 33,North,Feb 2026,40.2
805,Devonport Wharf To Belmont Shops Via Ngataringa Rd,Local,07 - 17,06 - 15,North,Feb 2026,7.7
806,Devonport Wharf To Stanley Pt Loop,Connector,07 - 17,06 - 15,North,Feb 2026,18.4
807,Devonport Wharf To Cheltenham Loop,Connector,07 - 17,06 - 15,North,Feb 2026,21.7
814,Devonport Wharf To Akoranga Station Via Takapuna,Connector,17 - 27,15 - 24,North,Feb 2026,41.6
82,Milford To Mayoral Dr Via Takapuna,Frequent,27 - 37,24 - 33,North,Feb 2026,27.8
83,Massey University To Takapuna Via Browns Bay,Frequent,17 - 27,15 - 24,North,Feb 2026,30.5
842,Crown Hill To Smales Farm Station Via East Coast Rd,Peak,27 - 37,24 - 33,North,Feb 2026,65.4
843,Constellation Station To Akoranga Station Via Takapuna,Connector,17 - 27,15 - 24,North,Feb 2026,20.5
845,Milford To Takapuna Via North Shore Hospital,Local,07 - 17,06 - 15,North,Feb 2026,20.7
856,Albany Station To Takapuna Via Beach Rd And Milford,Connector,17 - 27,15 - 24,North,Feb 2026,25.2
861,Long Bay To Constellation Station Via Bush Rd,Connector,17 - 27,15 - 24,North,Feb 2026,27.2
865,Browns Bay To Albany Station Via Oaktree Ave,Connector,17 - 27,15 - 24,North,Feb 2026,21.8
866,Albany Stn To Newmarket Via Ponsonby And Auckland Hospital,Weekday Connector,17 - 27,15 - 24,North,Feb 2026,37.0
871,Constellation Station To Takapuna Via Forrest Hill Rd,Connector,17 - 27,15 - 24,North,Feb 2026,37.9
878,Browns Bay To Constellation Station Via and East Coast Rd,Connector,17 - 27,15 - 24,North,Feb 2026,29.6
883,Schnapper Rock To Constellation Station,Connector,07 - 17,06 - 15,North,Feb 2026,21.7
884,Constellation Station To NHIE Loop Anticlockwise,Weekday Connector,07 - 17,06 - 15,North,Feb 2026,25.2
885,Constellation Station To NHIE Loop Clockwise,Weekday Connector,07 - 17,06 - 15,North,Feb 2026,23.0
888,Albany Heights Loop,Connector,07 - 17,06 - 15,North,Feb 2026,25.1
889,Albany Station To Constellation Station Via Hugh Green Dr,Connector,07 - 17,06 - 15,North,Feb 2026,24.3
901,Smales Farm To Constellation Station Via Wairau Rd,Connector,07 - 17,06 - 15,North,Feb 2026,30.2
902,Kyle Road To Constellation Station,Connector,07 - 17,06 - 15,North,Feb 2026,16.0
906,Constellation To Smales Farm Via Windy Ridge And Archers Rd,Local,07 - 17,06 - 15,North,Feb 2026,24.1
907,Campbells Bay To Constellation Station Via Sunnynook Station,Local,07 - 17,06 - 15,North,Feb 2026,16.2
917,Birkenhead Wharf To Albany Station Via Glenfield Rd,Connector,17 - 27,15 - 24,North,Feb 2026,24.6
923,Akoranga Station To City (Mayoral Dr) Via Hillcrest,Connector,17 - 27,15 - 24,North,Feb 2026,18.5
924,Hillcrest To City (Mayoral Dr),Peak,17 - 27,15 - 24,North,Feb 2026,29.4
926,Glenfield To Akoranga Station Via Hillcrest West,Connector,07 - 17,06 - 15,North,Feb 2026,26.9
928,Northcote Point To Smales Farm Stn Via North Shore Hospital,Local,07 - 17,06 - 15,North,Feb 2026,14.2
931,Chatswood To University Of Auckland Via Customs St,Local,17 - 27,15 - 24,North,Feb 2026,24.2
933,Beach Haven Wharf To University Of Auckland Via Customs St,Local,17 - 27,15 - 24,North,Feb 2026,25.6
939,Windy Ridge To University of Auckland Via Customs St,Peak,27 - 37,24 - 33,North,Feb 2026,34.3
94,Beach Haven To Takapuna via Highbury And Northcote Shops,Frequent,17 - 27,15 - 24,North,Feb 2026,33.0
941,Beach Haven To Takapuna Via Glenfield And Smales Farm Stn,Connector,17 - 27,15 - 24,North,Feb 2026,32.2
95B,Bayview To Britomart (Lower Albert St),Frequent,27 - 37,24 - 33,North,Feb 2026,35.6
95C,Constellation Station To Britomart (Albert St) Via Glenfield,Frequent,27 - 37,24 - 33,North,Feb 2026,34.8
966,Beach Haven To Newmarket Via Ponsonby And Auckland Hospital,Weekday Connector,17 - 27,15 - 24,North,Feb 2026,22.5
97B,Beach Haven to Britomart (Lower Albert St),Frequent,27 - 37,24 - 33,North,Feb 2026,34.3
97R,Beach Haven to Britomart (Lower Albert St),Frequent,27 - 37,24 - 33,North,Feb 2026,31.2
981,Waiwera To Hibiscus Coast Station,Connector,17 - 27,15 - 24,North,Feb 2026,24.3
982,Gulf Harbour To Hibiscus Coast Station,Connector,17 - 27,15 - 24,North,Feb 2026,21.8
983,Gulf Harbour To Hibiscus Coast Station Via Vipond Rd,Local,07 - 17,06 - 15,North,Feb 2026,13.8
984,Orewa To Hibiscus Coast Station Via Maygrove,Local,07 - 17,06 - 15,North,Feb 2026,12.3
985,Orewa To Hibiscus Coast Station Via Millwater,Connector,07 - 17,06 - 15,North,Feb 2026,25.8
986,Hibiscus Coast Station To Albany Station Via Dariy Flat,Local,07 - 17,06 - 15,North,Feb 2026,14.8
988,Gulf Harbour Ferry To The Plaza Via Army Bay,Local,07 - 17,06 - 15,North,Feb 2026,8.1
989,Hibiscus Coast Station To Milldale Loop,Connector,07 - 17,06 - 15,North,Feb 2026,26.1
995,Warkworth To Hibiscus Coast Station,Rural Township,07 - 17,06 - 15,North,Feb 2026,10.2
996,Algies Bay To Warkworth Via Snells Beach,Rural Township,07 - 17,06 - 15,North,Feb 2026,8.1
997,Warkworth To Omaha Via Matakana And Pt Wells,Rural Township,07 - 17,06 - 15,North,Feb 2026,5.3
998,Wellsford To Warkworth,Rural Township,07 - 17,06 - 15,North,Feb 2026,9.0
999,Warkworth Loop,Local,,,North,Feb 2026,5.7
AIR,Airport Link Via Puhinui Station,Rapid,17 - 27,15 - 24,South,Feb 2026,18.2
CTY,Wynyard Quarter to Karangahape Rd via Queen St,Frequent,27 - 37,24 - 33,Central,Feb 2026,37.3
INN,Inner Link Anticlockwise,Frequent,27 - 37,24 - 33,Central,Feb 2026,29.3
N10,"City To Otara Via Manukau Rd, Onehunga, Mangere, Papatoetoe",Night,,,South,Feb 2026,
NX1,Albany Station To Britomart (Lower Albert St),Rapid,37 - 47,33 - 42,North,Feb 2026,86.6
NX2,Hibiscus Coast Station To Auckland Universities,Rapid,37 - 47,33 - 42,North,Feb 2026,51.9
OUT,St Lukes To Newmarket Via Wellesley St,Frequent,27 - 37,24 - 33,Central,Feb 2026,25.5
QODTAK,AT Local,On Demand,,,South,Feb 2026,3.1
TMK,Glen Innes To Britomart Via St Heliers And Tamaki Dr,Frequent,27 - 37,24 - 33,Central,Feb 2026,30.2
WX1,Northwest To City Centre Via Motorway,Rapid,17 - 27,15 - 24,West,Feb 2026,31.0
101,Pt Chevalier To Auckland University Via Jervois Rd,Peak,27 - 37,24 - 33,Central,Mar 2026,37.2
105,Westmere To Britomart Via Richmond Rd,Connector,17 - 27,15 - 24,Central,Mar 2026,32.0
106,Freemans Bay Loop,Connector,07 - 17,06 - 15,Central,Mar 2026,27.9
111,Royal Heights Loop,Local,07 - 17,06 - 15,West,Mar 2026,19.3
112,Hob Pt Wharf To Northwest Via W Harbour,Connector,07 - 17,06 - 15,West,Mar 2026,17.6
114,Hob Pt Wharf To Northwest Via Whenuapai,Local,07 - 17,06 - 15,West,Mar 2026,10.0
116,West Hills Loop,Local,07 - 17,06 - 15,West,Mar 2026,3.4
11T,Northwest To City Centre Via Triangle Rd,Frequent,17 - 27,15 - 24,West,Mar 2026,24.0
11W,Northwest To City Centre Via Waimumu Rd,Frequent,17 - 27,15 - 24,West,Mar 2026,21.7
12,Henderson to Constellation Station via Westgate,Frequent,17 - 27,15 - 24,West,Mar 2026,30.3
122,Huapai North To Westgate Via Kumeu,Rural Township,07 - 17,06 - 15,West,Mar 2026,7.2
123,Huapai Triangle To Westgate Via Kumeu,Rural Township,07 - 17,06 - 15,West,Mar 2026,7.4
125,Helensville To Westgate Via Kumeu,Rural Township,07 - 17,06 - 15,West,Mar 2026,11.7
126,Albany To Westgate Via Riverhead,Rural Township,07 - 17,06 - 15,West,Mar 2026,16.4
128,Hibiscus Coast Station To Helensville,Rural Township,07 - 17,06 - 15,West,Mar 2026,6.8
13,Te Atatu Peninsula Loop To Henderson,Frequent,17 - 27,15 - 24,West,Mar 2026,28.1
135,Te Atatu (Totara Rd) To Henderson,Connector,07 - 17,06 - 15,West,Mar 2026,21.6
14,Lincoln Rd To New Lynn Via Henderson,Frequent,17 - 27,15 - 24,West,Mar 2026,30.2
143,Ranui to Henderson via Sturges Rd,Connector,07 - 17,06 - 15,West,Mar 2026,21.1
145,Lincoln Rd To Henderson Via Western H,Connector,07 - 17,06 - 15,West,Mar 2026,17.5
147,Waitakere Township To Henderson,Local,07 - 17,06 - 15,West,Mar 2026,14.6
148,Ranui To Lincoln Rd,Local,07 - 17,06 - 15,West,Mar 2026,5.7
149,Ranui To New Lynn Via Rosebank,Weekday Connector,17 - 27,15 - 24,West,Mar 2026,21.0
152,Henderson to New Lynn via Sunnyvale and Glen Eden,Local,07 - 17,06 - 15,West,Mar 2026,22.9
154,Henderson to New Lynn via Glen Eden,Connector,17 - 27,15 - 24,West,Mar 2026,29.4
161,Brains Park to New Lynn,Local,07 - 17,06 - 15,West,Mar 2026,24.8
162,Henderson to New Lynn via Glendene,Connector,17 - 27,15 - 24,West,Mar 2026,28.5
170,Titirangi South to New Lynn,Local,07 - 17,06 - 15,West,Mar 2026,15.0
171,Laingholm To New Lynn,Local,07 - 17,06 - 15,West,Mar 2026,16.4
172,Glen Eden to New Lynn via Titirangi,Connector,07 - 17,06 - 15,West,Mar 2026,26.0
18,New Lynn To City Centre Via Great North Rd,Frequent,27 - 37,24 - 33,Central,Mar 2026,35.8
186,South Lynn Loop,Connector,17 - 27,15 - 24,West,Mar 2026,44.2
191,Lynfield To New Lynn Via Blockhouse Bay And Avondale,Local,07 - 17,06 - 15,Central,Mar 2026,18.7
195,New Lynn To City Centre Via Green Bay,Connector,17 - 27,15 - 24,West,Mar 2026,27.0
20,St Lukes To Wynyard Quarter Via Kingsland,Frequent,17 - 27,15 - 24,Central,Mar 2026,24.8
209,Titirangi to City Centre via Green Bay and New North Rd,Peak,27 - 37,24 - 33,West,Mar 2026,33.3
22N,New Lynn To City Centre Via New North Rd,Frequent,27 - 37,24 - 33,Central,Mar 2026,33.5
22R,Rosebank Rd To City Centre Via New North Rd,Frequent,27 - 37,24 - 33,Central,Mar 2026,33.3
24B,New Lynn And Blockhouse Bay To City Centre Via Sandringham R,Frequent,27 - 37,24 - 33,Central,Mar 2026,33.4
24R,New Lynn To City Centre Via Sandingham Rd,Frequent,27 - 37,24 - 33,Central,Mar 2026,33.5
252,Lynfield To Civic Centre Via Dominion Rd,Peak,37 - 47,33 - 42,Central,Mar 2026,68.9
253,Blockhouse Bay To Civic Centre Via Dominion Rd,Peak,37 - 47,33 - 42,Central,Mar 2026,66.6
25B,Blockhouse Bay To City Centre Via Dominion Rd,Frequent,27 - 37,24 - 33,Central,Mar 2026,41.1
25L,Lynfield To City Centre Via Dominion Rd,Frequent,27 - 37,24 - 33,Central,Mar 2026,36.3
27H,Waikowhai To Britomart Via Hillsborough Rd And Mt Eden Rd,Frequent,27 - 37,24 - 33,Central,Mar 2026,52.5
27T,Three Kings To Britomart Via Mt Eden Rd,Peak,37 - 47,33 - 42,Central,Mar 2026,71.4
27W,Waikowhai To Britomart Via Mt Eden Rd,Frequent,27 - 37,24 - 33,Central,Mar 2026,57.5
295,Ellerslie Station To City Centre Via Royal Oak,Connector,17 - 27,15 - 24,Central,Mar 2026,21.5
298,Onehunga To Sylvia Park Via Ellerslie,Local,07 - 17,06 - 15,Central,Mar 2026,21.0
30,Onehunga To City Centre Via Manukau Rd,Frequent,27 - 37,24 - 33,Central,Mar 2026,46.6
309,Mangere Town Centre To City Centre,Connector,17 - 27,15 - 24,South,Mar 2026,19.2
309X,Mangere Town Centre To City Centre (Express),Peak,27 - 37,24 - 33,South,Mar 2026,26.1
31,Mangere Town Centre To Botany Town Centre Via Otara,Frequent,17 - 27,15 - 24,South,Mar 2026,17.3
311,Otahuhu Station to Otahuhu Station via Mangere Bridge,Connector,17 - 27,15 - 24,South,Mar 2026,4.2
313,Mangere To Manukau Bus Station Via Papatoetoe,Connector,17 - 27,15 - 24,South,Mar 2026,14.9
314,Ormiston To Middlemore Station Via Otara,Connector,17 - 27,15 - 24,South,Mar 2026,26.6
32,Mangere Town Centre To Sylvia Park Via Otahuhu,Frequent,17 - 27,15 - 24,South,Mar 2026,18.2
321,Middlemore Station To Britomart Via Greenlane Hospital,Local,17 - 27,15 - 24,Central,Mar 2026,24.4
323,Otahuhu Station To Panmure Via Panama Rd,Connector,17 - 27,15 - 24,Central,Mar 2026,19.6
324,Mangere Town Centre To Seaside Park Via Otahuhu,Local,07 - 17,06 - 15,South,Mar 2026,15.9
325,Mangere Town Ctr To Manukau Station Via Otahuhu & Otara,Connector,17 - 27,15 - 24,South,Mar 2026,16.9
326,Mangere Town Centre To Otahuhu Station Via Tidal Road,Local,07 - 17,06 - 15,South,Mar 2026,7.0
33,Papakura Interchange To Otahuhu Station Via Great South Rd,Frequent,17 - 27,15 - 24,South,Mar 2026,26.3
35,Ormiston To Botany Via Chapel Rd,Frequent,17 - 27,15 - 24,South,Mar 2026,28.4
351,Botany To Otahuhu Station Via Highbrook,Weekday Connector,07 - 17,06 - 15,South,Mar 2026,8.9
352,Manukau Bus Station To Panmure Via East Tamaki,Peak,07 - 17,06 - 15,South,Mar 2026,9.4
353,Manukau Bus Station To Botany Town Centre Via Preston Rd,Connector,07 - 17,06 - 15,South,Mar 2026,11.2
355,Ormiston To Botany Via Mission Heights,Connector,17 - 27,15 - 24,South,Mar 2026,23.9
36,Manukau to Onehunga via Mangere Town Centre,Frequent,17 - 27,15 - 24,South,Mar 2026,15.2
361,Manurewa Interchange To Otara / Mit Via Mahia Rd,Connector,17 - 27,15 - 24,South,Mar 2026,18.8
362,Weymouth To Manukau Bus Station Via Great South Rd,Connector,17 - 27,15 - 24,South,Mar 2026,25.3
363,Manurewa Interchange To Wattle Downs Loop,Local,07 - 17,06 - 15,South,Mar 2026,21.6
365,Papakura Interchange To Manukau Bus Station Via Porchester,Connector,17 - 27,15 - 24,South,Mar 2026,17.8
366,Manurewa Interchange To Manukau Bus Station Via The Gardens,Connector,17 - 27,15 - 24,South,Mar 2026,16.0
372,Papakura Shops To Keri Hill Loop,Connector,17 - 27,15 - 24,South,Mar 2026,22.9
373,Red Hill To Papakura Shops,Local,07 - 17,06 - 15,South,Mar 2026,12.2
376,Papakura Shops To Auranga Dr Via Drury,Connector,07 - 17,06 - 15,South,Mar 2026,11.5
377,Pahurehure To Papakura Interchange,Connector,17 - 27,15 - 24,South,Mar 2026,6.2
378,Papakura Shops To Karaka Harbourside Loop And Karaka Lakes,Connector,07 - 17,06 - 15,South,Mar 2026,8.2
38,Airport To Onehunga Via Mangere Town Centre,Frequent,17 - 27,15 - 24,South,Mar 2026,10.7
391,Pukekohe Northeast Loop,Connector,07 - 17,06 - 15,South,Mar 2026,10.7
392,Pukekohe Northwest Loop,Connector,07 - 17,06 - 15,South,Mar 2026,15.0
393,Pukekohe South Loop,Connector,07 - 17,06 - 15,South,Mar 2026,7.0
394,Pukekohe Station To Papakura Station Via Paerata Rise,Connector,07 - 17,06 - 15,South,Mar 2026,8.3
395,Waiuku To Papakura Interchange,Peak,07 - 17,06 - 15,South,Mar 2026,6.8
396,Waiuku To Pukekohe Interchange Via Kitchener Rd And Patumaho,Rural Township,07 - 17,06 - 15,South,Mar 2026,10.3
399,Port Waikato To Pukekohe Interchange Via Tuakau,Rural Township,,,South,Mar 2026,3.5
501,Kennedy Point to Matiatia Wharf,Local,07 - 17,06 - 15,Waiheke Island,Mar 2026,20.2
502,Rocky Bay to Matiatia Wharf,Connector,07 - 17,06 - 15,Waiheke Island,Mar 2026,18.9
503,Matiatia Wharf To Oneroa,Local,17 - 27,15 - 24,Waiheke Island,Mar 2026,71.1
50A,Onetangi (Seventh Ave) To Matiatia Wharf,Frequent,17 - 27,15 - 24,Waiheke Island,Mar 2026,29.4
50B,Onetangi (Fourth Ave) to Matiatia Wharf,Frequent,07 - 17,06 - 15,Waiheke Island,Mar 2026,29.3
64,Newmarket To Kingsland Via Mt Eden And Valley Rd,Frequent,,,Central,Mar 2026,26.3
65,Pt Chevalier To Glen Innes,Frequent,17 - 27,15 - 24,Central,Mar 2026,21.3
66,Pt Chevalier Beach To Sylvia Park Via Mt Albert Rd,Frequent,17 - 27,15 - 24,Central,Mar 2026,28.6
67A,New Lynn To Otahuhu Via Onehunga,Frequent,17 - 27,15 - 24,Central,Mar 2026,16.0
