Route No,Route Name,RPTP Level of Service,RPTP Range,RPTP Revised Range,Area,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026
50A,Onetangi (Seventh Ave) To Matiatia Wharf,Frequent,17 - 27,15 - 24,Waiheke Island,15.6,16.4,18.8,20.4,26.3,32.5,35.7,36.7,29.4
50B,Onetangi (Fourth Ave) to Matiatia Wharf,Frequent,07 - 17,06 - 15,Waiheke Island,16.5,15.9,18.6,19.1,26.6,34.7,37.5,36.2,29.3
64,Newmarket To Kingsland Via Mt Eden And Valley Rd,Frequent,,,Central,23.1,25.4,24.0,24.2,26.2,22.9,22.9,26.8,26.3
65,Pt Chevalier To Glen Innes,Frequent,17 - 27,15 - 24,Central,16.9,18.8,18.4,18.5,19.8,17.2,17.4,22.0,21.3
66,Pt Chevalier Beach To Sylvia Park Via Mt Albert Rd,Frequent,17 - 27,15 - 24,Central,20.7,25.2,23.1,23.2,23.8,21.2,20.2,26.3,28.6
67A,New Lynn To Otahuhu Via Onehunga,Frequent,17 - 27,15 - 24,Central,13.1,14.1,13.6,13.9,14.7,12.5,12.9,15.9,16.0
67B,New Lynn To Onehunga Only,Frequent,07 - 17,06 - 15,Central,15.3,17.5,17.3,16.8,17.7,14.7,15.8,19.8,18.3
68,New Lynn To Onehunga Station,Frequent,17 - 27,15 - 24,Central,20.0,23.1,20.9,21.4,22.4,17.4,14.7,23.9,24.3
70,Botany To Britomart Via Panmure,Frequent,37 - 47,33 - 42,East,41.5,51.5,44.8,47.8,41.0,33.8,48.0,43.7,56.9
70H,Britomart To Howick And Botany Via Ellerslie And Panmure,Night,,,East,2.7,2.8,2.2,3.2,3.1,15.4,2.9,3.8,3.5
711,Howick To Panmure Via Cascades Road,Local,07 - 17,06 - 15,East,17.7,22.4,18.7,18.9,19.0,15.8,13.9,20.4,24.2
712,Bucklands Beach To Panmure,Connector,17 - 27,15 - 24,East,24.1,31.1,26.9,28.2,28.2,21.2,17.5,29.8,34.8
72C,"Botany And Howick To Panmure Via Chapel Rd, Cook St, And Pak",Frequent,27 - 37,24 - 33,East,29.5,34.1,30.9,31.5,32.1,25.7,22.3,33.1,35.4
72M,"Botany and Howick to Panmure via Millhouse Dr, Meadowland Dr",Frequent,27 - 37,24 - 33,East,29.7,35.7,32.1,33.7,33.1,26.0,22.1,37.0,37.7
72X,Botany And Howick To Britomart Express Via Panmure And Motor,Peak,37 - 47,33 - 42,East,29.2,37.8,31.6,35.3,29.0,21.8,32.4,33.0,44.7
733,Botany To The Parade Via Highland Park,Local,07 - 17,06 - 15,East,23.4,27.4,25.0,25.7,26.3,19.7,18.3,29.8,29.6
734,Botany To Half Moon Bay Via Highland Park,Local,07 - 17,06 - 15,East,19.9,23.9,21.8,22.2,22.9,20.0,17.9,25.8,25.7
735,Botany To Half Moon Bay Via Cockle Bay And Howick,Local,07 - 17,06 - 15,East,17.4,19.8,17.5,19.0,20.5,15.7,14.2,23.9,24.3
738,Maraetai to Pine Harbour via Beachlands,Local,07 - 17,06 - 15,East,,,,,3.7,4.3,3.6,4.1,4.4
739,Maraetai And Beachlands To Botany Via Whitford And Ormiston,Local,07 - 17,06 - 15,East,11.1,11.5,12.3,11.9,13.0,12.6,11.9,12.8,13.1
74,Onehunga To Glen Innes Via Panmure,Frequent,17 - 27,15 - 24,Central,17.4,19.1,18.5,18.1,19.0,18.1,19.9,20.0,20.1
744,Panmure To St Heliers Via Glen Innes,Connector,17 - 27,15 - 24,Central,16.0,20.1,17.7,19.4,20.7,16.5,16.8,22.0,22.3
747,Panmure To Glen Innes Via Stonefields,Connector,17 - 27,15 - 24,Central,14.4,17.1,16.2,17.5,18.5,14.8,13.3,19.4,20.1
75,Glen Innes To Wynyard Quarter Via Remuera Rd,Frequent,27 - 37,24 - 33,Central,36.8,42.9,36.4,38.4,36.2,29.7,30.9,39.8,48.8
